IP LIN
PA -361.5 -358.5 -355.5 -352.5 -349.5 -346.5 -343.5 -340.5 -337.5 -334.5 -331.5 -328.5 -325.5 -322.5 -319.5 -316.5 -313.5 -310.5 -307.5 -304.5 -301.5 -298.5 -295.5 -292.5 -289.5 -286.5 -283.5 -280.5 -277.5 -274.5 -271.5 -268.5 -265.5 -262.5 -259.5 -256.5 -253.5 -250.5 -247.5 -244.5 -241.5 -238.5 -235.5 -232.5 -229.5 -226.5 -223.5 -220.5 -217.5 -214.5 -211.5 -208.5 -205.5 -202.5 -199.5 -196.5 -193.5 -190.5 -187.5 -184.5 -181.5 -178.5 -175.5 -172.5 -169.5 -166.5 -163.5 -160.5 -157.5 -154.5 -151.5 -148.5 -145.5 -142.5 -139.5 -136.5 -133.5 -130.5 -127.5 -124.5 -121.5 -118.5 -115.5 -112.5 -109.5 -106.5 -103.5 -100.5 -97.5 -94.5 -91.5 -88.5 -85.5 -82.5 -79.5 -76.5 -73.5 -70.5 -67.5 -64.5 -61.5 -58.5 -55.5 -52.5 -49.5 -46.5 -43.5 -40.5 -37.5 -34.5 -31.5 -28.5 -25.5 -22.5 -19.5 -16.5 -13.5 -10.5 -7.5 -4.5 -1.5 1.5
TA 0.0 3.0 6.0 9.0 12.0 15.0 18.0 21.0 24.0 27.0 30.0 33.0 36.0 39.0 42.0 45.0 48.0 51.0 54.0 57.0 60.0 63.0 66.0 69.0 72.0 75.0 78.0 81.0 84.0 87.0 90.0 93.0 96.0 99.0 102.0 105.0 108.0 111.0 114.0 117.0 120.0 123.0 126.0 129.0 132.0 135.0 138.0 141.0 144.0 147.0 150.0 153.0 156.0 159.0 162.0 165.0 168.0 171.0 174.0 177.0 180.0
EA 1808.6290000000001 1808.63 1808.631
AP 9 4 1 6.67893e-318
AP 9 5 1 1.79379e-293
AP 9 6 1 5.07778e-270
AP 9 7 1 1.515e-247
AP 9 8 1 4.7642e-226
AP 9 9 1 1.57908e-205
AP 9 10 1 5.5164e-186
AP 9 11 1 2.03116e-167
AP 9 12 1 7.88263e-150
AP 9 13 1 3.2243e-133
AP 9 14 1 1.39007e-117
AP 9 15 1 6.31648e-103
AP 9 16 1 3.02518e-89
AP 9 17 1 1.52709e-76
AP 9 18 1 8.12487e-65
AP 9 19 1 4.55622e-54
AP 9 20 1 2.69296e-44
AP 9 21 1 1.67762e-35
AP 9 22 1 1.10153e-27
AP 9 23 1 7.62312e-21
AP 9 24 1 5.56043e-15
AP 9 25 1 4.27485e-10
AP 9 26 1 3.46395e-06
AP 9 27 1 0.00295841
AP 9 28 1 0.266308
AP 9 29 1 2.52666
AP 9 30 1 2.52666
AP 9 31 1 0.266308
AP 9 32 1 0.00295841
AP 9 33 1 3.46395e-06
AP 9 34 1 4.27485e-10
AP 9 35 1 5.56043e-15
AP 9 36 1 7.62312e-21
AP 9 37 1 1.10153e-27
AP 9 38 1 1.67762e-35
AP 9 39 1 2.69296e-44
AP 9 40 1 4.55622e-54
AP 9 41 1 8.12487e-65
AP 9 42 1 1.52709e-76
AP 9 43 1 3.02518e-89
AP 9 44 1 6.31648e-103
AP 9 45 1 1.39007e-117
AP 9 46 1 3.2243e-133
AP 9 47 1 7.88263e-150
AP 9 48 1 2.03116e-167
AP 9 49 1 5.5164e-186
AP 9 50 1 1.57908e-205
AP 9 51 1 4.7642e-226
AP 9 52 1 1.515e-247
AP 9 53 1 5.07778e-270
AP 9 54 1 1.79379e-293
AP 9 55 1 6.67893e-318
AP 9 56 1 0.0
AP 9 57 1 0.0
AP 9 58 1 0.0
AP 9 59 1 0.0
AP 9 60 1 0.0
AP 10 0 1 0.0
AP 10 1 1 0.0
AP 10 2 1 0.0
AP 10 3 1 0.0
AP 10 4 1 6.85942e-318
AP 10 5 1 1.84227e-293
AP 10 6 1 5.215e-270
AP 10 7 1 1.55594e-247
AP 10 8 1 4.89295e-226
AP 10 9 1 1.62176e-205
AP 10 10 1 5.66548e-186
AP 10 11 1 2.08606e-167
AP 10 12 1 8.09567e-150
AP 10 13 1 3.31144e-133
AP 10 14 1 1.42764e-117
AP 10 15 1 6.48719e-103
AP 10 16 1 3.10694e-89
AP 10 17 1 1.56836e-76
AP 10 18 1 8.34444e-65
AP 10 19 1 4.67935e-54
AP 10 20 1 2.76574e-44
AP 10 21 1 1.72296e-35
AP 10 22 1 1.13129e-27
AP 10 23 1 7.82913e-21
AP 10 24 1 5.7107e-15
AP 10 25 1 4.39038e-10
AP 10 26 1 3.55756e-06
AP 10 27 1 0.00303837
AP 10 28 1 0.273505
AP 10 29 1 2.59494
AP 10 30 1 2.59494
AP 10 31 1 0.273505
AP 10 32 1 0.00303837
AP 10 33 1 3.55756e-06
AP 10 34 1 4.39038e-10
AP 10 35 1 5.7107e-15
AP 10 36 1 7.82913e-21
